"replic","classifier","AUC","MCC","Sens","Spec"
4,"FoldAmyloid",0.708384536610343,0.395664577470795,0.721428571428571,0.695340501792115
4,"appnn",0.815450588837686,0.558916698036988,0.871428571428571,0.720430107526882
4,"class14592_6",0.883346134152586,0.619807686184148,0.678571428571429,0.913978494623656
4,"class14592_10",0.886943164362519,0.606497157918865,0.9,0.741935483870968
4,"class14592_15",0.862941628264209,0.535322078230461,0.971428571428571,0.584229390681004
4,"raw_aa_6",0.841692268305172,0.486937335758651,0.45,0.949820788530466
4,"raw_aa_10",0.845506912442396,0.510884040858581,0.757142857142857,0.774193548387097
4,"raw_aa_15",0.85520993343574,0.528995647252619,0.807142857142857,0.74910394265233
5,"PASTA2",0.871648925684999,0.446996343914061,0.434210526315789,0.936329588014981
5,"FoldAmyloid",0.742546323674354,0.467917451038761,0.769736842105263,0.715355805243446
5,"appnn",0.853267297457126,0.617325467159899,0.907894736842105,0.734082397003745
5,"class14592_6",0.878671397595111,0.589502243094747,0.684210526315789,0.887640449438202
5,"class14592_10",0.901611472501478,0.648857701936962,0.881578947368421,0.790262172284644
5,"class14592_15",0.867324561403509,0.542561875530308,0.947368421052632,0.606741573033708
5,"raw_aa_6",0.820557362507392,0.515597116979408,0.519736842105263,0.932584269662921
5,"raw_aa_10",0.855940764833432,0.610905809330704,0.822368421052632,0.805243445692884
5,"raw_aa_15",0.870687955844668,0.526401678941283,0.861842105263158,0.685393258426966
6,"PASTA2",0.840232603981865,0.393836392583885,0.322368421052632,0.962546816479401
6,"FoldAmyloid",0.741536073329391,0.470213513090513,0.730263157894737,0.752808988764045
6,"appnn",0.829267691701163,0.566126529853327,0.888157894736842,0.700374531835206
6,"class14592_6",0.856581411393653,0.535516174685993,0.644736842105263,0.872659176029963
6,"class14592_10",0.881369505223733,0.583595399332949,0.848684210526316,0.756554307116105
6,"class14592_15",0.871464123792628,0.527689048141879,0.953947368421053,0.580524344569288
6,"raw_aa_6",0.834553025822984,0.469285436214024,0.421052631578947,0.955056179775281
6,"raw_aa_10",0.86880297654248,0.605510667646138,0.763157894736842,0.846441947565543
6,"raw_aa_15",0.872770057165385,0.560811123781551,0.815789473684211,0.764044943820225
7,"PASTA2",0.891424770198355,0.437466251934715,0.389937106918239,0.953846153846154
7,"FoldAmyloid",0.747447992259313,0.480369864187286,0.79874213836478,0.696153846153846
7,"appnn",0.862070633768747,0.651535719436637,0.943396226415094,0.726923076923077
7,"class14592_6",0.895766811804548,0.608220826600759,0.691823899371069,0.896153846153846
7,"class14592_10",0.912905176584422,0.723746662693072,0.937106918238994,0.807692307692308
7,"class14592_15",0.891158684083212,0.58683036233704,0.974842767295597,0.615384615384615
7,"raw_aa_6",0.844267053701016,0.533348933392322,0.484276729559748,0.961538461538462
7,"raw_aa_10",0.873766328011611,0.595147158296425,0.716981132075472,0.869230769230769
7,"raw_aa_15",0.879462989840348,0.602866938063139,0.792452830188679,0.819230769230769
8,"PASTA2",0.869805918718962,0.497198501507169,0.447552447552448,0.956521739130435
8,"FoldAmyloid",0.731389986824769,0.444224800110609,0.727272727272727,0.735507246376812
8,"appnn",0.847294010337489,0.584391133109242,0.895104895104895,0.721014492753623
8,"class14592_6",0.90133779264214,0.621258568907639,0.706293706293706,0.898550724637681
8,"class14592_10",0.888631296239992,0.61444373850847,0.86013986013986,0.782608695652174
8,"class14592_15",0.865169251038816,0.522985335834588,0.93006993006993,0.615942028985507
8,"raw_aa_6",0.858214249518597,0.514392354288316,0.475524475524476,0.952898550724638
8,"raw_aa_10",0.856694030607074,0.559760264945025,0.748251748251748,0.822463768115942
8,"raw_aa_15",0.862926928144319,0.557363799974774,0.818181818181818,0.764492753623188
9,"PASTA2",0.852857142857143,0.3978059722662,0.376,0.938775510204082
9,"FoldAmyloid",0.776639455782313,0.507332076402934,0.856,0.697278911564626
9,"appnn",0.835578231292517,0.584396429932205,0.92,0.717687074829932
9,"class14592_6",0.888775510204082,0.594939851479335,0.664,0.908163265306122
9,"class14592_10",0.908163265306122,0.617793880928568,0.904,0.76530612244898
9,"class14592_15",0.884897959183673,0.558102409888157,0.992,0.612244897959184
9,"raw_aa_6",0.820136054421769,0.525666558716277,0.496,0.948979591836735
9,"raw_aa_10",0.874925170068027,0.567233706454429,0.784,0.812925170068027
9,"raw_aa_15",0.870530612244898,0.537862048580436,0.808,0.768707482993197
10,"PASTA2",0.84182895205166,0.423299645507759,0.380281690140845,0.949458483754513
10,"FoldAmyloid",0.764491279808817,0.505472629782939,0.78169014084507,0.747292418772563
10,"appnn",0.82688005288046,0.55634711287404,0.887323943661972,0.700361010830325
10,"class14592_6",0.887616311587939,0.590311522093664,0.669014084507042,0.898916967509025
10,"class14592_10",0.909378654599075,0.625197064588141,0.859154929577465,0.794223826714801
10,"class14592_15",0.894467890374739,0.549155968988631,0.943661971830986,0.631768953068592
10,"raw_aa_6",0.817803935526517,0.543272483920431,0.492957746478873,0.96028880866426
10,"raw_aa_10",0.865294656022779,0.610655802919254,0.78169014084507,0.84115523465704
10,"raw_aa_15",0.880103727055474,0.606338011182888,0.838028169014085,0.794223826714801
11,"PASTA2",0.852774492410802,0.433885486166459,0.381578947368421,0.955056179775281
11,"FoldAmyloid",0.748620145870294,0.480926758367827,0.763157894736842,0.734082397003745
11,"appnn",0.84704563374729,0.593275480327311,0.875,0.741573033707865
11,"class14592_6",0.871932288586635,0.505549883641579,0.598684210526316,0.880149812734082
11,"class14592_10",0.874383993692095,0.569089088392889,0.828947368421053,0.760299625468165
11,"class14592_15",0.85246648925685,0.513552262829058,0.940789473684211,0.580524344569288
11,"raw_aa_6",0.843694559432289,0.530174556370372,0.467105263157895,0.966292134831461
11,"raw_aa_10",0.861595702739996,0.581281748153226,0.730263157894737,0.850187265917603
11,"raw_aa_15",0.851135915631776,0.52152708923025,0.802631578947368,0.737827715355805
