"enc_adj";"AUC_mean";"et";"si";"et2"
307;0,747969951682085;"Encoding";0,647368421052632;"Encoding"
308;0,748248675709913;"Encoding";0,7;"Encoding"
309;0,747778158650176;"Encoding";0,710526315789474;"Encoding"
310;0,738509183700818;"Encoding";0,668421052631579;"Encoding"
311;0,759042079022495;"Encoding";0,636842105263158;"Encoding"
312;0,732733110127367;"Encoding";0,678947368421053;"Encoding"
313;0,719824875026131;"Encoding";0,636842105263158;"Encoding"
314;0,745093977830124;"Encoding";0,694736842105263;"Encoding"
315;0,760980351799537;"Encoding";0,710526315789474;"Encoding"
316;0,767536797979721;"Encoding";0,705263157894737;"Encoding"
317;0,747106641018487;"Encoding";0,721052631578947;"Encoding"
318;0,751723996683056;"Encoding";0,742105263157895;"Encoding"
319;0,718833625533429;"Encoding";0,678947368421053;"Encoding"
320;0,746097510485377;"Encoding";0,663157894736842;"Encoding"
321;0,727141286228211;"Encoding";0,710526315789474;"Encoding"
322;0,727357555474595;"Encoding";0,705263157894737;"Encoding"
323;0,73381677884953;"Encoding";0,689473684210526;"Encoding"
324;0,747478019711262;"Encoding";0,657894736842105;"Encoding"
325;0,742713065359742;"Encoding";0,731578947368421;"Encoding"
326;0,680758222750949;"Encoding";0,705263157894737;"Encoding"
327;0,687188827320663;"Encoding";0,731578947368421;"Encoding"
328;0,737266216633629;"Encoding";0,689473684210526;"Encoding"
329;0,748713591404041;"Encoding";0,657894736842105;"Encoding"
330;0,707281352349465;"Encoding";0,721052631578947;"Encoding"
331;0,730571683744623;"Encoding";0,721052631578947;"Encoding"
332;0,779367435157774;"Encoding";0,668421052631579;"Encoding"
333;0,729472321387065;"Encoding";0,678947368421053;"Encoding"
334;0,742902487741584;"Encoding";0,647368421052632;"Encoding"
335;0,731202101065301;"Encoding";0,757894736842105;"Encoding"
336;0,740000265044227;"Encoding";0,757894736842105;"Encoding"
337;0,738500853904851;"Encoding";0,678947368421053;"Encoding"
338;0,742501225386384;"Encoding";0,763157894736842;"Encoding"
339;0,734534514659469;"Encoding";0,752631578947368;"Encoding"
340;0,734241860369412;"Encoding";0,652631578947368;"Encoding"
341;0,671803220314726;"Encoding";0,642105263157895;"Encoding"
342;0,727969103645739;"Encoding";0,7;"Encoding"
343;0,722844236484294;"Encoding";0,657894736842105;"Encoding"
344;0,738508091364999;"Encoding";0,715789473684211;"Encoding"
345;0,729312930913205;"Encoding";0,731578947368421;"Encoding"
346;0,736091470664489;"Encoding";0,721052631578947;"Encoding"
347;0,731764802635152;"Encoding";0,752631578947368;"Encoding"
348;0,724533401431746;"Encoding";0,668421052631579;"Encoding"
349;0,755034248841261;"Encoding";0,684210526315789;"Encoding"
350;0,720805999030816;"Encoding";0,605263157894737;"Encoding"
351;0,722020503058389;"Encoding";0,721052631578947;"Encoding"
352;0,729151385933339;"Encoding";0,721052631578947;"Encoding"
353;0,729461961603962;"Encoding";0,778947368421053;"Encoding"
354;0,713564328240852;"Encoding";0,7;"Encoding"
355;0,748040473869261;"Encoding";0,710526315789474;"Encoding"
356;0,744980604906606;"Encoding";0,757894736842105;"Encoding"
357;0,728531067545262;"Encoding";0,573684210526316;"Encoding"
358;0,715603672380249;"Encoding";0,689473684210526;"Encoding"
359;0,756906075937794;"Encoding";0,784210526315789;"Encoding"
360;0,724286895214211;"Encoding";0,710526315789474;"Encoding"
361;0,719184693261126;"Encoding";0,742105263157895;"Encoding"
362;0,751031813954453;"Encoding";0,684210526315789;"Encoding"
363;0,756507102058842;"Encoding";0,647368421052632;"Encoding"
364;0,688880657725804;"Encoding";0,684210526315789;"Encoding"
365;0,753410995652505;"Encoding";0,7;"Encoding"
366;0,738220211712382;"Encoding";0,705263157894737;"Encoding"
